id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
6b51da8f-d0ca-4b60-a144-b00702e52edb,283170,T,G,2026-02-05,online
1ff4c3a3-7e9b-467d-b55b-2d8620ecdc6c,324048,T,G,2026-02-05,online
f5691c8d-098a-470a-8c12-a76f14b9b89f,425843,T,G,2026-02-05,online
25675dcc-a1f1-472b-b65f-32f187247b3d,284273,T,G,2026-02-05,online
c7af5e7c-20c0-4a1a-8aa8-803d7dd892e5,355451,T,G,2026-02-05,online
ff726a95-b1ca-4516-afe6-13b3476376e9,228077,T,G,2026-02-05,online
89903684-f565-45e1-9506-7354ba179590,461777,T,G,2026-02-05,online
1f8ccb14-d371-40c5-a0e3-e1e72bb2271d,390571,T,G,2026-02-05,online
138e21b5-108a-44c1-b234-275a19ae6057,459784,T,G,2026-02-05,online
e0373b51-e87c-47f8-82b5-386d7ba652f8,47611,T,G,2026-02-05,online
ed7468f5-3d33-40f1-92f4-66ad9a8c5334,221620,T,G,2026-02-05,online
8b82c9e2-4e51-41f1-9f01-f626e279c4f7,280360,T,G,2026-02-05,online
f39f97a7-dcf7-4afc-b151-1f91aee52879,283456,T,G,2026-02-05,online
022d076a-4ec6-404f-853b-75b849f80fc0,438022,T,G,2026-02-05,online
a6b05a43-8ce5-4896-be36-5f94eb93e023,204722,T,G,2026-02-05,online
6725a138-08b0-4c4d-920d-20998db18f9a,319658,T,G,2026-02-05,online
32cb8acb-2bd8-43e5-91b0-6a7a5108974c,93834,T,G,2026-02-05,online
224b6d3b-e11f-4966-9acd-4c89bf45073f,405421,T,G,2026-02-05,online
fc1ad658-ea0e-4277-99d8-565d5a94a1d3,431782,T,G,2026-02-05,online
77f8be50-519f-4a00-8d18-2fdac3fdbf22,497593,T,G,2026-02-05,online
bc80f61f-8f3a-4916-962b-ffabc308d98e,211787,T,G,2026-02-05,online
bfff7078-3677-44bd-92f1-afdcbf478001,97585,T,G,2026-02-05,online
1026a846-e258-4b5f-adf3-23fb663b97df,139204,T,G,2026-02-05,online
48a3d15b-6f3c-41fd-941a-287ce59e9e23,349208,T,G,2026-02-05,online
897af29e-080a-4ba0-91fa-82dda1a7492e,497516,T,G,2026-02-05,online
6c97f97e-6f35-4f06-92cd-007dc789bef8,339283,T,G,2026-02-05,online
5f862680-a165-4bba-88fd-9958654f2eec,26092,T,G,2026-02-05,online
549889d2-f90e-484b-b55a-1441938c486a,413149,T,G,2026-02-05,online
34d1ab8a-94cc-41ac-aa8b-22575c7180e2,340781,T,G,2026-02-05,online
c8871a81-d1af-454f-b0f4-d0b05f40ada2,94519,T,G,2026-02-05,online
7d6f6795-af59-4ca7-bbdf-8c8a31ae1440,232444,T,G,2026-02-05,online
c1ef48d6-004d-4faa-871e-851d7443baf8,130658,T,G,2026-02-05,online
d760b399-5bad-4f37-8e5b-8894e77e8fc8,466886,T,G,2026-02-05,online
