id,ticketNumber,firstInitial,lastInitial,purchaseDate,entryType
745946e6-b2c4-4510-83ff-611c48fe4183,22977,T,W,2025-05-13,online
78f969fb-d22f-41a9-9b6f-45ec6e5e647a,171119,T,W,2025-05-13,online
ae163a4f-44e8-4c2c-a256-2b32f699dba2,263219,T,W,2025-05-13,online
13491e8b-74be-477e-9535-b2b1febaffef,386054,T,W,2025-05-13,online
2ac5b627-a29c-4a6a-bddc-23874d52fc07,139200,T,W,2025-05-13,online
8275a874-9ad3-4b6f-a281-0e007a0d7e08,495412,T,W,2025-05-13,online
5a4901a9-18c5-43c2-9519-981cf79c2887,355715,T,W,2025-05-13,online
cfa9fb07-73b8-4755-ac58-c532f4a15b47,374714,T,W,2025-05-13,online
6eafb562-780a-4c8e-9ad1-f1a76fd59cf3,137349,T,W,2025-05-13,online
3f271a84-ab62-4667-8bca-ce6471b14357,327231,T,W,2025-05-13,online
96864084-c5ad-4b1f-a53b-a7e33515a1f3,314432,T,W,2025-05-13,online
2701abad-dc25-4622-b935-cbd12c747f1b,120951,T,W,2025-05-13,online
3fe9e5ef-8c72-4914-9838-ff63ee2a1efc,135265,T,W,2025-05-13,online
34778663-8c08-41e4-888f-b76c66daf343,265647,T,W,2025-05-13,online
187b3117-68df-4be7-832b-6506887d79a7,106036,T,W,2025-05-13,online
